Series Id	Year	Period	Value
PRS85006013	1947	Q01	38.535
PRS85006013	1947	Q02	38.703
PRS85006013	1947	Q03	38.991
PRS85006013	1947	Q04	39.3
PRS85006013	1948	Q01	39.498
PRS85006013	1948	Q02	39.606
PRS85006013	1948	Q03	40.006
PRS85006013	1948	Q04	39.78
PRS85006013	1949	Q01	39.144
PRS85006013	1949	Q02	38.642
PRS85006013	1949	Q03	38.38
PRS85006013	1949	Q04	38.178
PRS85006013	1950	Q01	38.284
PRS85006013	1950	Q02	39.132
PRS85006013	1950	Q03	40.174
PRS85006013	1950	Q04	40.501
PRS85006013	1951	Q01	41.128
PRS85006013	1951	Q02	41.47
PRS85006013	1951	Q03	41.288
PRS85006013	1951	Q04	41.342
PRS85006013	1952	Q01	41.415
PRS85006013	1952	Q02	41.475
PRS85006013	1952	Q03	41.701
PRS85006013	1952	Q04	42.679
PRS85006013	1953	Q01	43.125
PRS85006013	1953	Q02	43.285
PRS85006013	1953	Q03	43.205
PRS85006013	1953	Q04	42.627
PRS85006013	1954	Q01	42.131
PRS85006013	1954	Q02	41.778
PRS85006013	1954	Q03	41.678
PRS85006013	1954	Q04	41.995
PRS85006013	1955	Q01	42.471
PRS85006013	1955	Q02	42.956
PRS85006013	1955	Q03	43.395
PRS85006013	1955	Q04	43.824
PRS85006013	1956	Q01	44.243
PRS85006013	1956	Q02	44.512
PRS85006013	1956	Q03	44.32
PRS85006013	1956	Q04	44.487
PRS85006013	1957	Q01	44.68
PRS85006013	1957	Q02	44.882
PRS85006013	1957	Q03	44.773
PRS85006013	1957	Q04	44.241
PRS85006013	1958	Q01	43.311
PRS85006013	1958	Q02	42.639
PRS85006013	1958	Q03	42.946
PRS85006013	1958	Q04	43.374
PRS85006013	1959	Q01	44.061
PRS85006013	1959	Q02	44.766
PRS85006013	1959	Q03	44.772
PRS85006013	1959	Q04	44.886
PRS85006013	1960	Q01	45.264
PRS85006013	1960	Q02	45.32
PRS85006013	1960	Q03	45.017
PRS85006013	1960	Q04	44.786
PRS85006013	1961	Q01	44.623
PRS85006013	1961	Q02	44.536
PRS85006013	1961	Q03	44.733
PRS85006013	1961	Q04	45.129
PRS85006013	1962	Q01	45.41
PRS85006013	1962	Q02	45.737
PRS85006013	1962	Q03	45.662
PRS85006013	1962	Q04	45.548
PRS85006013	1963	Q01	45.773
PRS85006013	1963	Q02	45.97
PRS85006013	1963	Q03	46.218
PRS85006013	1963	Q04	46.458
PRS85006013	1964	Q01	46.855
PRS85006013	1964	Q02	46.957
PRS85006013	1964	Q03	47.357
PRS85006013	1964	Q04	47.755
PRS85006013	1965	Q01	48.23
PRS85006013	1965	Q02	48.804
PRS85006013	1965	Q03	49.048
PRS85006013	1965	Q04	49.49
PRS85006013	1966	Q01	50.097
PRS85006013	1966	Q02	50.736
PRS85006013	1966	Q03	51.168
PRS85006013	1966	Q04	51.267
PRS85006013	1967	Q01	51.481
PRS85006013	1967	Q02	51.497
PRS85006013	1967	Q03	51.714
PRS85006013	1967	Q04	51.974
PRS85006013	1968	Q01	52.244
PRS85006013	1968	Q02	52.649
PRS85006013	1968	Q03	53.023
PRS85006013	1968	Q04	53.608
PRS85006013	1969	Q01	54.148
PRS85006013	1969	Q02	54.728
PRS85006013	1969	Q03	55.105
PRS85006013	1969	Q04	55.154
PRS85006013	1970	Q01	55.174
PRS85006013	1970	Q02	54.833
PRS85006013	1970	Q03	54.815
PRS85006013	1970	Q04	54.442
PRS85006013	1971	Q01	54.688
PRS85006013	1971	Q02	54.886
PRS85006013	1971	Q03	54.981
PRS85006013	1971	Q04	55.372
PRS85006013	1972	Q01	55.988
PRS85006013	1972	Q02	56.401
PRS85006013	1972	Q03	56.765
PRS85006013	1972	Q04	57.434
PRS85006013	1973	Q01	58.362
PRS85006013	1973	Q02	58.999
PRS85006013	1973	Q03	59.396
PRS85006013	1973	Q04	59.866
PRS85006013	1974	Q01	60.042
PRS85006013	1974	Q02	60.374
PRS85006013	1974	Q03	60.337
PRS85006013	1974	Q04	59.74
PRS85006013	1975	Q01	58.346
PRS85006013	1975	Q02	57.879
PRS85006013	1975	Q03	58.299
PRS85006013	1975	Q04	58.989
PRS85006013	1976	Q01	59.764
PRS85006013	1976	Q02	60.205
PRS85006013	1976	Q03	60.556
PRS85006013	1976	Q04	61.012
PRS85006013	1977	Q01	61.744
PRS85006013	1977	Q02	62.814
PRS85006013	1977	Q03	63.625
PRS85006013	1977	Q04	64.343
PRS85006013	1978	Q01	65.115
PRS85006013	1978	Q02	66.409
PRS85006013	1978	Q03	67.076
PRS85006013	1978	Q04	67.972
PRS85006013	1979	Q01	68.767
PRS85006013	1979	Q02	69.377
PRS85006013	1979	Q03	69.794
PRS85006013	1979	Q04	69.97
PRS85006013	1980	Q01	70.173
PRS85006013	1980	Q02	69.467
PRS85006013	1980	Q03	69.269
PRS85006013	1980	Q04	69.87
PRS85006013	1981	Q01	70.188
PRS85006013	1981	Q02	70.523
PRS85006013	1981	Q03	70.757
PRS85006013	1981	Q04	70.395
PRS85006013	1982	Q01	69.847
PRS85006013	1982	Q02	69.697
PRS85006013	1982	Q03	69.198
PRS85006013	1982	Q04	68.614
PRS85006013	1983	Q01	68.793
PRS85006013	1983	Q02	69.437
PRS85006013	1983	Q03	70.324
PRS85006013	1983	Q04	71.6
PRS85006013	1984	Q01	72.733
PRS85006013	1984	Q02	73.568
PRS85006013	1984	Q03	74.163
PRS85006013	1984	Q04	74.72
PRS85006013	1985	Q01	75.28
PRS85006013	1985	Q02	75.705
PRS85006013	1985	Q03	76.068
PRS85006013	1985	Q04	76.573
PRS85006013	1986	Q01	76.635
PRS85006013	1986	Q02	76.882
PRS85006013	1986	Q03	77.489
PRS85006013	1986	Q04	77.974
PRS85006013	1987	Q01	78.521
PRS85006013	1987	Q02	79.08
PRS85006013	1987	Q03	79.666
PRS85006013	1987	Q04	80.339
PRS85006013	1988	Q01	80.895
PRS85006013	1988	Q02	81.833
PRS85006013	1988	Q03	82.191
PRS85006013	1988	Q04	82.797
PRS85006013	1989	Q01	83.474
PRS85006013	1989	Q02	83.724
PRS85006013	1989	Q03	83.775
PRS85006013	1989	Q04	84.107
PRS85006013	1990	Q01	84.575
PRS85006013	1990	Q02	84.589
PRS85006013	1990	Q03	84.376
PRS85006013	1990	Q04	84.021
PRS85006013	1991	Q01	83.416
PRS85006013	1991	Q02	83.028
PRS85006013	1991	Q03	82.813
PRS85006013	1991	Q04	82.701
PRS85006013	1992	Q01	82.261
PRS85006013	1992	Q02	82.372
PRS85006013	1992	Q03	82.561
PRS85006013	1992	Q04	82.951
PRS85006013	1993	Q01	83.613
PRS85006013	1993	Q02	84.288
PRS85006013	1993	Q03	84.69
PRS85006013	1993	Q04	85.333
PRS85006013	1994	Q01	85.952
PRS85006013	1994	Q02	86.801
PRS85006013	1994	Q03	87.81
PRS85006013	1994	Q04	88.307
PRS85006013	1995	Q01	89.085
PRS85006013	1995	Q02	89.458
PRS85006013	1995	Q03	89.997
PRS85006013	1995	Q04	90.248
PRS85006013	1996	Q01	90.872
PRS85006013	1996	Q02	91.449
PRS85006013	1996	Q03	92.036
PRS85006013	1996	Q04	92.917
PRS85006013	1997	Q01	93.626
PRS85006013	1997	Q02	94.149
PRS85006013	1997	Q03	94.591
PRS85006013	1997	Q04	95.174
PRS85006013	1998	Q01	95.675
PRS85006013	1998	Q02	96.317
PRS85006013	1998	Q03	96.735
PRS85006013	1998	Q04	97.209
PRS85006013	1999	Q01	97.388
PRS85006013	1999	Q02	98.017
PRS85006013	1999	Q03	98.557
PRS85006013	1999	Q04	98.989
PRS85006013	2000	Q01	99.667
