Series Id	Year	Period	Value
PRS85006043	1947	Q01	12.17
PRS85006043	1947	Q02	12.468
PRS85006043	1947	Q03	12.15
PRS85006043	1947	Q04	12.774
PRS85006043	1948	Q01	12.913
PRS85006043	1948	Q02	12.896
PRS85006043	1948	Q03	13.006
PRS85006043	1948	Q04	12.953
PRS85006043	1949	Q01	12.866
PRS85006043	1949	Q02	12.782
PRS85006043	1949	Q03	12.957
PRS85006043	1949	Q04	12.828
PRS85006043	1950	Q01	13.374
PRS85006043	1950	Q02	13.86
PRS85006043	1950	Q03	14.62
PRS85006043	1950	Q04	14.778
PRS85006043	1951	Q01	15.059
PRS85006043	1951	Q02	15.137
PRS85006043	1951	Q03	15.33
PRS85006043	1951	Q04	15.371
PRS85006043	1952	Q01	15.535
PRS85006043	1952	Q02	15.444
PRS85006043	1952	Q03	15.483
PRS85006043	1952	Q04	16.205
PRS85006043	1953	Q01	16.5
PRS85006043	1953	Q02	16.575
PRS85006043	1953	Q03	16.487
PRS85006043	1953	Q04	16.157
PRS85006043	1954	Q01	15.966
PRS85006043	1954	Q02	15.965
PRS85006043	1954	Q03	16.188
PRS85006043	1954	Q04	16.589
PRS85006043	1955	Q01	17.176
PRS85006043	1955	Q02	17.448
PRS85006043	1955	Q03	17.697
PRS85006043	1955	Q04	17.848
PRS85006043	1956	Q01	17.724
PRS85006043	1956	Q02	17.835
PRS85006043	1956	Q03	17.761
PRS85006043	1956	Q04	18.047
PRS85006043	1957	Q01	18.272
PRS85006043	1957	Q02	18.166
PRS85006043	1957	Q03	18.338
PRS85006043	1957	Q04	18.013
PRS85006043	1958	Q01	17.347
PRS85006043	1958	Q02	17.428
PRS85006043	1958	Q03	17.973
PRS85006043	1958	Q04	18.547
PRS85006043	1959	Q01	18.953
PRS85006043	1959	Q02	19.566
PRS85006043	1959	Q03	19.494
PRS85006043	1959	Q04	19.456
PRS85006043	1960	Q01	20.035
PRS85006043	1960	Q02	19.788
PRS85006043	1960	Q03	19.714
PRS85006043	1960	Q04	19.287
PRS85006043	1961	Q01	19.41
PRS85006043	1961	Q02	19.921
PRS85006043	1961	Q03	20.304
PRS85006043	1961	Q04	20.764
PRS85006043	1962	Q01	21.187
PRS85006043	1962	Q02	21.413
PRS85006043	1962	Q03	21.641
PRS85006043	1962	Q04	21.647
PRS85006043	1963	Q01	21.906
PRS85006043	1963	Q02	22.258
PRS85006043	1963	Q03	22.773
PRS85006043	1963	Q04	22.967
PRS85006043	1964	Q01	23.626
PRS85006043	1964	Q02	23.879
PRS85006043	1964	Q03	24.217
PRS85006043	1964	Q04	24.211
PRS85006043	1965	Q01	24.945
PRS85006043	1965	Q02	25.341
PRS85006043	1965	Q03	25.852
PRS85006043	1965	Q04	26.589
PRS85006043	1966	Q01	27.342
PRS85006043	1966	Q02	27.428
PRS85006043	1966	Q03	27.594
PRS85006043	1966	Q04	27.706
PRS85006043	1967	Q01	27.893
PRS85006043	1967	Q02	27.825
PRS85006043	1967	Q03	28.015
PRS85006043	1967	Q04	28.232
